iteration	auc_null
1	0.4405684754521964
2	0.603359173126615
3	0.4935400516795866
4	0.35012919896640826
5	0.4250645994832041
6	0.5723514211886305
7	0.6266149870801034
8	0.5529715762273902
9	0.47674418604651164
10	0.4134366925064599
11	0.4043927648578811
12	0.5310077519379844
13	0.5930232558139535
14	0.4315245478036176
15	0.6705426356589148
16	0.40826873385012924
17	0.3682170542635659
18	0.372093023255814
19	0.46124031007751937
20	0.5529715762273902
21	0.4005167958656331
22	0.4211886304909561
23	0.3204134366925065
24	0.36304909560723514
25	0.45736434108527135
26	0.7209302325581395
27	0.7609819121447028
28	0.582687338501292
29	0.4625322997416021
30	0.5555555555555556
31	0.2622739018087855
32	0.4625322997416021
33	0.5142118863049097
34	0.6408268733850129
35	0.5090439276485789
36	0.6395348837209303
37	0.4315245478036176
38	0.4147286821705427
39	0.49224806201550386
40	0.5271317829457365
41	0.5645994832041343
42	0.49741602067183466
43	0.6395348837209303
44	0.5077519379844961
45	0.4405684754521964
46	0.4237726098191215
47	0.5387596899224806
48	0.4108527131782946
49	0.4560723514211886
50	0.4211886304909561
51	0.49224806201550386
52	0.5025839793281655
53	0.5801033591731266
54	0.42635658914728686
55	0.5503875968992249
56	0.5129198966408268
57	0.43927648578811374
58	0.42764857881136953
59	0.4754521963824289
60	0.5813953488372093
61	0.5271317829457365
62	0.5439276485788114
63	0.48578811369509045
64	0.5581395348837209
65	0.2984496124031008
66	0.3979328165374677
67	0.599483204134367
68	0.47286821705426363
69	0.5155038759689922
70	0.22609819121447028
71	0.3333333333333333
72	0.5723514211886305
73	0.3682170542635659
74	0.4069767441860465
75	0.4638242894056848
76	0.3682170542635659
77	0.47028423772609823
78	0.40826873385012924
79	0.5490956072351422
80	0.43281653746770027
81	0.4444444444444444
82	0.5374677002583979
83	0.36304909560723514
84	0.6976744186046511
85	0.6653746770025839
86	0.4883720930232558
87	0.41343669250646
88	0.40051679586563316
89	0.665374677002584
90	0.6175710594315246
91	0.3798449612403101
92	0.5775193798449613
93	0.4728682170542636
94	0.6589147286821705
95	0.4457364341085272
96	0.5852713178294574
97	0.41214470284237725
98	0.4405684754521964
99	0.40310077519379844
100	0.4315245478036176
101	0.6718346253229974
102	0.6330749354005168
103	0.4844961240310077
104	0.48578811369509045
105	0.5348837209302326
106	0.42248062015503873
107	0.33720930232558144
108	0.6899224806201552
109	0.6421188630490955
110	0.5297157622739019
111	0.5387596899224807
112	0.4689922480620155
113	0.5284237726098191
114	0.2622739018087855
115	0.5374677002583979
116	0.4599483204134367
117	0.5878552971576227
118	0.6989664082687339
119	0.5516795865633074
120	0.3863049095607235
121	0.42118863049095606
122	0.603359173126615
123	0.4987080103359173
124	0.42894056847545226
125	0.5284237726098191
126	0.5258397932816538
127	0.46770025839793283
128	0.6214470284237725
129	0.49224806201550386
130	0.4638242894056848
131	0.6925064599483204
132	0.5232558139534884
133	0.5762273901808785
134	0.40826873385012924
135	0.4237726098191215
136	0.3682170542635659
137	0.437984496124031
138	0.5516795865633075
139	0.3410852713178295
140	0.5852713178294573
141	0.43927648578811374
142	0.5930232558139535
143	0.6162790697674418
144	0.5762273901808785
145	0.4134366925064599
146	0.6214470284237726
147	0.5943152454780362
148	0.2971576227390181
149	0.41214470284237725
150	0.4121447028423773
151	0.2493540051679587
152	0.5852713178294574
153	0.7002583979328165
154	0.227390180878553
155	0.6175710594315245
156	0.5891472868217054
157	0.4689922480620155
158	0.4069767441860465
159	0.43410852713178294
160	0.6472868217054264
161	0.19121447028423771
162	0.351421188630491
163	0.3850129198966408
164	0.5206718346253231
165	0.4767441860465117
166	0.3074935400516796
167	0.6459948320413437
168	0.3682170542635659
169	0.48578811369509045
170	0.6098191214470285
171	0.5788113695090439
172	0.5762273901808785
173	0.3785529715762274
174	0.4715762273901809
175	0.40568475452196384
176	0.5167958656330749
177	0.3682170542635659
178	0.5981912144702842
179	0.5620155038759691
180	0.4418604651162791
181	0.42894056847545226
